State,StFIPS,Parish,CoFIPS
LA,22,ACADIA,001
LA,22,ALLEN,003
LA,22,ASCENSION,005
LA,22,ASSUMPTION,007
LA,22,AVOYELLES,009
LA,22,BEAUREGARD,011
LA,22,BIENVILLE,013
LA,22,BOSSIER,015
LA,22,CADDO,017
LA,22,CALCASIEU,019
LA,22,CALDWELL,021
LA,22,CAMERON,023
LA,22,CATAHOULA,025
LA,22,CLAIBORNE,027
LA,22,CONCORDIA,029
LA,22,DE SOTO,031
LA,22,EAST BATON ROUGE,033
LA,22,EAST CARROLL,035
LA,22,EAST FELICIANA,037
LA,22,EVANGELINE,039
LA,22,FRANKLIN,041
LA,22,GRANT,043
LA,22,IBERIA,045
LA,22,IBERVILLE,047
LA,22,JACKSON,049
LA,22,JEFFERSON,051
LA,22,JEFFERSON DAVIS,053
LA,22,LAFAYETTE,055
LA,22,LAFOURCHE,057
LA,22,LA SALLE,059
LA,22,LINCOLN,061
LA,22,LIVINGSTON,063
LA,22,MADISON,065
LA,22,MOREHOUSE,067
LA,22,NATCHITOCHES,069
LA,22,ORLEANS,071
LA,22,OUACHITA,073
LA,22,PLAQUEMINES,075
LA,22,POINTE COUPEE,077
LA,22,RAPIDES,079
LA,22,RED RIVER,081
LA,22,RICHLAND,083
LA,22,SABINE,085
LA,22,ST. BERNARD,087
LA,22,ST. CHARLES,089
LA,22,ST. HELENA,091
LA,22,ST. JAMES,093
LA,22,ST. JOHN THE BAPTIST,095
LA,22,ST. LANDRY,097
LA,22,ST. MARTIN,099
LA,22,ST. MARY,101
LA,22,ST. TAMMANY,103
LA,22,TANGIPAHOA,105
LA,22,TENSAS,107
LA,22,TERREBONNE,109
LA,22,UNION,111
LA,22,VERMILION,113
LA,22,VERNON,115
LA,22,WASHINGTON,117
LA,22,WEBSTER,119
LA,22,WEST BATON ROUGE,121
LA,22,WEST CARROLL,123
LA,22,WEST FELICIANA,125
LA,22,WINN,127
